ID,ConfigName,Job,MessageId,SessionId,SourceClass,SourceMethod,Text,TimeLogged,TraceCat,Type
2028,router_Router,43120,1243,1243,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1243 with message body Id=705, Doc Identifier=334700.20745, SessionId=1243 because of validation failure: ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.479,,Error
2027,router_Router,43120,1242,1242,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1242 with message body Id=704, Doc Identifier=334700.20744, SessionId=1242 because of validation failure: ERROR <Ens>ErrGeneral: Invalid value 'X' appears in segment 3:PID, field 8, repetition 1, component 1, subcomponent 1, but does not appear in code table 2.5.1:1.
+
ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.456,,Error
2026,router_Router,43120,1241,1241,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1241 with message body Id=703, Doc Identifier=334700.20743, SessionId=1241 because of validation failure: ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.432,,Error
2025,router_Router,43120,1240,1240,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1240 with message body Id=702, Doc Identifier=334700.20742, SessionId=1240 because of validation failure: ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.408,,Error
2024,router_Router,43120,1239,1239,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1239 with message body Id=701, Doc Identifier=334700.20741, SessionId=1239 because of validation failure: ERROR <Ens>ErrGeneral: Invalid value 'X' appears in segment 3:PID, field 8, repetition 1, component 1, subcomponent 1, but does not appear in code table 2.5.1:1.
+
ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.386,,Error
2023,router_Router,43120,1238,1238,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1238 with message body Id=700, Doc Identifier=334700.20740, SessionId=1238 because of validation failure: ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.362,,Error
2022,router_Router,43120,1237,1237,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1237 with message body Id=699, Doc Identifier=334700.20739, SessionId=1237 because of validation failure: ERROR <EnsEDI>ErrMapRequired: Missing required PV1 element at segment 4 (DG1)
+
ERROR <Ens>ErrGeneral: Invalid date/time value '2026' found for type 'DTM' in segment 1:MSH, field 7, repetition 1, component 1, subcomponent 1.
+
ERROR <Ens>ErrGeneral: Invalid date/time value '2026' found for type 'DTM' in segment 2:EVN, field 2, repetition 1, component 1, subcomponent 1.
+
ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.339,,Error
2021,router_Router,43120,1236,1236,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1236 with message body Id=698, Doc Identifier=334700.20738, SessionId=1236 because of validation failure: ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.320,,Error
2020,router_Router,43120,1235,1235,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1235 with message body Id=697, Doc Identifier=334700.20737, SessionId=1235 because of validation failure: ERROR <Ens>ErrGeneral: Invalid value 'X' appears in segment 3:PID, field 8, repetition 1, component 1, subcomponent 1, but does not appear in code table 2.5.1:1.
+
ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.295,,Error
2019,router_Router,43120,1234,1234,EnsLib.HL7.MsgRouter.RoutingEngine,OnError,"ERROR <Ens>ErrGeneral: Not forwarding message 1234 with message body Id=696, Doc Identifier=334700.20736, SessionId=1234 because of validation failure: ERROR <EnsEDI>ErrMapRequired: Missing required PV1 element at segment 4 (DG1)
+
ERROR <Ens>ErrGeneral: Required field missing in segment 3:PID.  Missing field 18, which is required in segment structure INPCADTPart2:PID.",2026-03-18 19:00:10.270,,Error
